Area,AspectRatio,Diameter,MeanGrey,StageX,StageY,O,Mgx,Alx,Si,S,Cax,Ti,Mn,Fe,Mg,Al,Ca
0.1841008,1.414185,0.4841533,100.375,1.063975,0.53939,14.25554,4.719308,10.19803,0.2912554,0.2684593,0,0,9.713854,60.55355,0.338747124,0.661252876,0
0.2071134,1.490713,0.5135221,93.66666,1.073031,0.52359,20.56689,7.06112,13.27258,0.07853547,0.2021131,0,0.3060026,5.430438,53.08232,0.37064596,0.62935404,0
0.3912142,1.33189,0.7057686,82.41177,1.160603,0.48601,21.38009,6.032876,15.57877,0.1139072,0.569916,0.2659098,0,6.947917,49.11061,0.297668305,0.694377044,0.00795465
0.09205039,1.581131,0.3423481,123.5,1.090484,0.47469,10.88553,1.777909,8.685991,0,0,0.5833464,0,4.415583,73.65165,0.178182234,0.78637236,0.035445406
0.09205039,1.414207,0.3423481,123,1.136434,0.4694,20.36393,5.626266,12.96149,0,0.5260435,0.001264067,0.1853287,2.778177,57.5575,0.324547226,0.675408565,4.42E-05
0.2761512,1.118034,0.5929642,88.08334,1.193024,0.41978,16.70439,5.635321,12.26103,0.2905841,0.3655335,0.4470183,0,9.371369,54.92475,0.331835133,0.652205797,0.01595907
0.8284535,1.339306,1.027044,74.83334,1.245499,0.46695,28.29389,2.234025,20.93033,0,0.686852,11.42236,0,4.261276,32.17126,0.079597329,0.673659653,0.246743018
0.2761512,1.520892,0.5929642,96.08334,1.303747,0.46526,19.96214,5.947046,12.71629,0.2006885,0,0.4205115,0,6.038199,54.71512,0.336196378,0.649390828,0.014412794
0.2761512,1.519372,0.5929642,102.5833,1.347402,0.4533,15.8091,5.140105,10.44357,0.3862064,2.279929,0,0,9.629696,56.3114,0.352683789,0.647316211,0
0.1841008,1.490641,0.4841533,111.75,1.418222,0.49678,11.08147,3.738449,7.231806,0.009836863,0,0,0,6.945943,70.99249,0.363971445,0.636028555,0
0.5062771,1.264905,0.8028774,93.13636,1.425893,0.42304,13.26266,2.906189,9.995268,0.1545915,0.9296982,1.205456,0,9.893944,61.65219,0.229443984,0.712855095,0.057700921
